mode,variant,trades_total,trades_OOS,symbols_OOS,OOS_expectancy_net_x2_pct,OOS_profit_factor_net_x2,last_12_months_expectancy_net_x2_pct,last_24_months_expectancy_net_x2_pct,top_3_symbol_contribution_pct,top_5_trades_contribution_pct
UNMATCHED_ALL_EVENTS,DSS_BO_001_BASE,350,226,49,1.8694492545524646,1.5362776493101964,1.3400828631108646,1.072611193169392,0.33902285429607426,0.14445392301473636
UNMATCHED_ALL_EVENTS,TREND_ONLY,1211,736,50,0.4001389549358233,1.0901023627374635,0.6932191401275738,0.6689625853513855,0.36571122878977774,0.09609819454324225
UNMATCHED_ALL_EVENTS,BREAKOUT_ONLY,588,365,50,1.145665673900634,1.289931622960696,1.0284898218565472,1.0180138256891276,0.36749724015539403,0.15731794387954
UNMATCHED_ALL_EVENTS,CONTRACTION_ONLY,685,423,49,1.7851437283468126,1.503132671531211,1.5605746234722844,1.075593204281848,0.3075629619326353,0.1191762977016724
UNMATCHED_ALL_EVENTS,RANDOM_MATCHED,1211,736,50,0.4001389549358233,1.0901023627374635,0.6932191401275738,0.6689625853513855,0.36571122878977774,0.09609819454324225
MATCHED_SAMPLE,DSS_BO_001_BASE,350,226,49,1.8694492545524646,1.5362776493101964,1.3400828631108646,1.072611193169392,0.33902285429607426,0.14445392301473636
MATCHED_SAMPLE,TREND_ONLY,349,225,49,1.3023769055757741,1.3712340311125024,1.5446236025533082,0.9630995773731224,0.3088697444726952,0.18698865120381572
MATCHED_SAMPLE,BREAKOUT_ONLY,316,196,49,1.821549355816766,1.5128915843647268,3.105227382472362,1.000199831463692,0.4071406081101249,0.2168022630944284
MATCHED_SAMPLE,CONTRACTION_ONLY,323,206,49,2.740843655876667,1.937914906757182,2.06514509626431,2.134556207288738,0.2742124042925119,0.19130063470435751
MATCHED_SAMPLE,RANDOM_MATCHED,287,185,49,1.0224532074418515,1.2427102962027454,1.6023109356456389,0.25887223764059447,0.33367496767234134,0.2595331161854363
