symbol,trades,expectancy_pct,net_sum_pct
GH,8,11.098602624950729,88.78882099960583
CRDO,10,7.8781479813778805,78.7814798137788
NXT,5,13.334382097285996,66.67191048642998
HIMS,5,11.540371982540329,57.70185991270164
ACMR,8,6.5043287614336505,52.034630091469204
ALGM,7,6.44687196480615,45.12810375364305
GOOGL,6,6.384843519806846,38.30906111884107
GOOG,7,5.136252901031905,35.95377030722334
ARWR,8,4.437204686457475,35.4976374916598
NVDA,7,3.749686675764704,26.247806730352927
AEO,4,6.19968123947392,24.79872495789568
AX,6,4.038421209534345,24.23052725720607
APPF,3,7.328053900262106,21.98416170078632
BROS,6,3.3210121784522246,19.926073070713347
ENPH,1,19.799999999999997,19.799999999999997
TSLA,6,3.257358201421073,19.544149208526438
AVGO,8,2.227569818910373,17.820558551282986
WING,2,4.727804283352516,9.455608566705031
TMDX,3,1.338375860660083,4.015127581980249
AAON,3,1.077013345219757,3.2310400356592712
CARG,4,0.25308554476727557,1.0123421790691023
SOUN,4,-0.08329747469104154,-0.33318989876416616
CVLT,2,-0.3286924341943165,-0.657384868388633
AAPL,5,-0.24741385334276594,-1.2370692667138297
PATH,1,-1.2703363914373098,-1.2703363914373098
PRVA,8,-0.1623991537016729,-1.2991932296133832
COST,4,-0.4139609295911396,-1.6558437183645585
IOVA,3,-0.6154586407727217,-1.846375922318165
CROX,2,-1.3744373189733814,-2.748874637946763
AMBA,6,-0.4727774911263379,-2.8366649467580274
FN,5,-0.6304575465593885,-3.1522877327969425
FRPT,3,-1.229392297247885,-3.6881768917436553
MSFT,6,-0.719619641937741,-4.317717851626446
LRN,2,-2.625680769433913,-5.251361538867826
FIVN,1,-5.361579892280077,-5.361579892280077
INSP,1,-6.308765830643148,-6.308765830643148
OLLI,3,-3.01739637668376,-9.05218913005128
AMZN,6,-1.7337300926590602,-10.40238055595436
SKYW,5,-2.2151973909362366,-11.075986954681182
CALM,4,-2.794454466155835,-11.17781786462334
DLO,5,-2.6971360077128175,-13.485680038564087
MNDY,3,-4.725060401892333,-14.175181205677
FOUR,4,-3.5610198103811803,-14.244079241524721
ZETA,4,-3.6906387490610486,-14.762554996244194
FUBO,4,-4.096475577943169,-16.385902311772675
META,5,-3.3106530269685663,-16.55326513484283
UPST,4,-5.0948005129515614,-20.379202051806246
RXRX,2,-11.206658686218756,-22.41331737243751
SEDG,7,-7.480783258604395,-52.365482810230766
