cluster,iteration,expectancy_pct,profit_factor,trades
symbol,0,0.9084453919429467,1.339870822963133,873
symbol,1,1.012404675246903,1.398060627614694,829
symbol,2,0.9466274153135144,1.3502294658609884,854
symbol,3,0.5466047101580228,1.1992792414665094,828
symbol,4,-0.05043152166409964,0.9843600988925252,900
symbol,5,0.44574621933047737,1.1464403009101984,859
symbol,6,0.5692230696257287,1.201250082572005,821
symbol,7,0.8780315722477477,1.3381754481883583,856
symbol,8,0.9548787575516805,1.3272812297560928,829
symbol,9,1.735144066040526,1.6701315544768418,878
symbol,10,0.8608230988200634,1.2856737447166977,828
symbol,11,-0.030561721373873602,0.9902561821099416,838
symbol,12,1.3699957194844636,1.460343213077176,834
symbol,13,0.9248208198485961,1.3046470155118637,878
symbol,14,0.9737050067100844,1.3606000815153823,806
symbol,15,1.122912684489849,1.387892237483956,865
symbol,16,0.4209567614261861,1.1319740859435974,903
symbol,17,0.625800012777199,1.205134462215945,813
symbol,18,1.0936472109692088,1.4323448467878557,780
symbol,19,1.0804240214444278,1.4092074567558965,866
symbol_month,0,1.123214383663871,1.4035591503238067,834
symbol_month,1,1.0282116271399222,1.3790620636407882,853
symbol_month,2,1.0609430383334815,1.378696963709248,851
symbol_month,3,0.9593047336088518,1.3229410441047758,836
symbol_month,4,0.41459349054759426,1.1357963994728375,824
symbol_month,5,0.5692393274155968,1.1901284307297764,845
symbol_month,6,0.7380685166596771,1.2621016243606866,868
symbol_month,7,1.0294455004683387,1.3758282093110514,842
symbol_month,8,1.0808193484615944,1.3780788637571089,845
symbol_month,9,0.1355813056040263,1.0407077962325362,848
symbol_month,10,0.594851275993481,1.2061154729894874,845
symbol_month,11,0.9430491737440234,1.3283143760338898,844
symbol_month,12,1.2327537279088212,1.4427957672294376,844
symbol_month,13,1.0559524266295295,1.381358065821083,851
symbol_month,14,0.6275398397383107,1.2021795184029387,854
symbol_month,15,0.6618697424997081,1.2362107315071549,841
symbol_month,16,0.6934395633085908,1.2297096561205842,848
symbol_month,17,1.0955755257184718,1.3809442091030224,839
symbol_month,18,0.899720489819594,1.3310704840087042,842
symbol_month,19,0.4312535693690167,1.1444906987896277,857
