symbol,trades,net_x2_sum_pct,net_x2_expectancy_pct
CRDO,15,115.096474277316,7.6730982851544
GH,13,80.83936282003154,6.21841252461781
TSLA,10,68.95583223303868,6.895583223303868
NXT,5,66.67191048642998,13.334382097285996
HIMS,6,62.44290426980441,10.407150711634069
AX,8,55.37890397741923,6.922362997177403
AVGO,11,54.2154364850989,4.9286760440999
NVDA,10,52.69120138369513,5.269120138369513
ACMR,8,52.034630091469204,6.5043287614336505
ALGM,8,38.15996903861715,4.769996129827144
BROS,8,36.667567506325426,4.583445938290678
GOOG,11,35.93959215665326,3.267235650604842
GOOGL,10,35.90330932026503,3.590330932026503
ARWR,9,33.34981140470329,3.7055346005225878
AEO,5,19.34824326232728,3.869648652465456
SKYW,9,15.400218958653033,1.7111354398503371
AAPL,9,10.614487171059896,1.1793874634510995
ENPH,3,5.699593304401741,1.8998644348005804
WING,4,5.431008588965014,1.3577521472412535
CALM,7,3.9274032204092775,0.561057602915611
FOUR,8,3.2249028899486216,0.4031128612435777
AMZN,9,2.667576958595953,0.29639743984399475
AAON,7,2.479644078217568,0.3542348683167954
COST,6,1.6572082614588868,0.27620137690981444
APPF,7,1.3664724584706036,0.19521035121008623
PRVA,10,1.2593333870712602,0.12593333870712603
SOUN,6,0.6718967794412798,0.11198279657354664
TMDX,5,-1.1469373224977868,-0.22938746449955735
CARG,9,-1.2275249766322218,-0.13639166407024686
PATH,1,-1.2703363914373098,-1.2703363914373098
CROX,3,-2.5395104317295623,-0.8465034772431874
LRN,3,-4.826183931593018,-1.6087279771976728
FIVN,1,-5.361579892280077,-5.361579892280077
SG,2,-7.214927093583801,-3.6074635467919003
AMBA,11,-7.378024830137175,-0.6707295300124705
INSP,2,-8.058528863818504,-4.029264431909252
MSFT,9,-8.845399844866288,-0.982822204985143
DLO,5,-13.485680038564087,-2.6971360077128175
FRPT,7,-13.671091823371384,-1.9530131176244834
FN,7,-15.125174732354516,-2.1607392474792166
ZETA,8,-17.514290476485105,-2.189286309560638
UPST,7,-18.674377316477596,-2.667768188068228
CVLT,4,-22.08070755750097,-5.520176889375242
MNDY,8,-23.966003245326917,-2.9957504056658646
META,8,-24.603118238950707,-3.0753897798688383
OLLI,8,-26.18654128792226,-3.2733176609902825
FUBO,5,-32.607927993054055,-6.521585598610811
RXRX,3,-34.43243350810042,-11.477477836033472
IOVA,5,-35.50490370712256,-7.100980741424512
SEDG,7,-52.365482810230766,-7.480783258604395
