experiment_id,blocker,count,blocker_type
RC-002-C,drawdown,47,costs_or_risk
RC-002-C,placebo,45,methodology
RC-002-C,fdr,39,methodology
RC-002-C,wrc,39,methodology
RC-002-C,oos,37,methodology
RC-002-C,cost_x2,31,costs_or_risk
RC-002-C,edge,25,costs_or_risk
RC-002-C,market_replay,25,methodology
RC-002-C,deflated_sharpe_débil,24,other
RC-002-C,purged_combinatorial_cv_inestable,20,other
RC-002-C,regime,16,data_or_regime
RC-002-C,bootstrap,15,methodology
RC-002-C,cost_dominated,15,other
RC-002-C,concentration,12,data_or_regime
RC-002-C,statistical_datamined,11,other
RC-002-C,overfit,10,methodology
RC-002-C,concentration_risk,7,other
RC-002-C,spa,6,methodology
RC-002-C,sin_expectancy_positiva_en_ningún_r,3,other
RC-002-C,no_demuestra_edge_positivo_en_4r,3,other
RC-002-C,baja_probabilidad_de_fill_estimada,3,other
RC-002-C,challenge_score_bajo,2,other
RC-002-C,estabilidad_insuficiente,2,other
