metric,value
abs_gap_pct_gte_0_5,56864.0
abs_gap_pct_gte_1_0,29771.0
abs_gap_pct_gte_2_0,11220.0
abs_gap_pct_gte_3_0,5529.0
abs_gap_pct_gte_5_0,2050.0
abs_gap_vs_atr_prev_gte_0_5,14072.0
abs_gap_vs_atr_prev_gte_1_0,3321.0
abs_gap_vs_atr_prev_gte_1_5,1630.0
gap_pct_min,-0.4462320067739204
gap_pct_p25,-0.0042553191489361
gap_pct_median,0.00053576829460895
gap_pct_p75,0.0056164357339823
gap_pct_max,1.7638844682611787
gap_vs_atr_prev_min,-16.09565363315994
gap_vs_atr_prev_p25,-0.151277013752456
gap_vs_atr_prev_median,0.0197496038586777
gap_vs_atr_prev_p75,0.20073453634004
gap_vs_atr_prev_max,26.9313213167727
